crs,name,lat,lon,osm_node_id,osm_own_operator_tag,osm_network,osm_wikidata,osm_wikipedia,all_operators_from_nearby_route_relations,raw_tags_json
AGT,Aldrington,50.83638383869,-0.18382143408,25331153,Govia Thameslink Railway (Southern),National Rail,Q2802053,en:Aldrington railway station,Greater Thameslink Railway; Southern Railway; Southern,"{""name"": ""Aldrington"", ""naptan:AtcoCode"": ""9100ALDTON"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/agt/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""AGT"", ""train"": ""yes"", ""wikidata"": ""Q2802053"", ""wikipedia"": ""en:Aldrington railway station""}"
ANG,Angmering,50.81657531232,-0.48939393986,31075499,Govia Thameslink Railway (Southern),National Rail,Q1932910,en:Angmering railway station,Greater Thameslink Railway; Southern Railway; Southern,"{""name"": ""Angmering"", ""naptan:AtcoCode"": ""9100ANGMRNG"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/ang/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""ANG"", ""toilets:wheelchair"": ""yes"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wikidata"": ""Q1932910"", ""wikipedia"": ""en:Angmering railway station""}"
BAA,Barnham,50.83090652593,-0.63967987064,5870767820,Govia Thameslink Railway (Southern),National Rail,Q2059728,en:Barnham railway station,Southern Railway; Southern,"{""name"": ""Barnham"", ""naptan:AtcoCode"": ""9100BRHM"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/baa/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""BAA"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wikidata"": ""Q2059728"", ""wikipedia"": ""en:Barnham railway station""}"
BDH,Bedhampton,50.85395672389,-0.99582833048,6010790010,South Western Railway,National Rail,Q1816808,en:Bedhampton railway station,Southern Railway; South Western Railway; Southern,"{""name"": ""Bedhampton"", ""naptan:AtcoCode"": ""9100BDHMPTN"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/bdh/"", ""network:wikidata"": ""Q26334"", ""operator"": ""South Western Railway"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""BDH"", ""source"": ""Bing"", ""train"": ""yes"", ""wikidata"": ""Q1816808"", ""wikipedia"": ""en:Bedhampton railway station""}"
BOG,Bognor Regis,50.78655905574,-0.67617820083,4907830232,Govia Thameslink Railway (Southern),National Rail,Q2278205,en:Bognor Regis railway station,Southern Railway; Southern,"{""name"": ""Bognor Regis"", ""naptan:AtcoCode"": ""9100BOGNORR"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/bog/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""BOG"", ""source"": ""NPE tracing"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wikidata"": ""Q2278205"", ""wikipedia"": ""en:Bognor Regis railway station""}"
BOH,Bosham,50.84274761945,-0.84743114151,112574808,Govia Thameslink Railway (Southern),National Rail,Q2591345,en:Bosham railway station,Southern Railway; Southern,"{""name"": ""Bosham"", ""naptan:AtcoCode"": ""9100BOSHAM"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/boh/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""BOH"", ""source"": ""NPE"", ""train"": ""yes"", ""wikidata"": ""Q2591345"", ""wikipedia"": ""en:Bosham railway station""}"
BTN,Brighton,50.82900477107,-0.14128028305,20947173,Govia Thameslink Railway (Southern),National Rail,Q800573,en:Brighton railway station,Southern; Southern Railway; Thameslink; Gatwick Express,"{""addr:city"": ""Brighton"", ""addr:postcode"": ""BN1 3XP"", ""name"": ""Brighton"", ""naptan:AtcoCode"": ""9100BRGHTN"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/btn/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""BTN"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wheelchair:description"": ""Level access from buses and taxis. Tactile plan near entrance. Step-free between ends of all platforms. Train access requires ramps, no Harrington Humps discovered."", ""wikidata"": ""Q800573"", ""wikipedia"": ""en:Brighton railway station""}"
CCH,Chichester,50.8320534304,-0.78174886249,5498467907,Govia Thameslink Railway (Southern),National Rail,Q2187759,en:Chichester railway station,Southern Railway; Southern,"{""name"": ""Chichester"", ""naptan:AtcoCode"": ""9100CHCHSTR"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/cch/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""CCH"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wikidata"": ""Q2187759"", ""wikipedia"": ""en:Chichester railway station""}"
DUR,Durrington-on-Sea,50.81752786343,-0.4114686291,46527768,Govia Thameslink Railway (Southern),National Rail,Q2654300,en:Durrington-on-Sea railway station,Greater Thameslink Railway; Southern Railway; Southern,"{""name"": ""Durrington-on-Sea"", ""naptan:AtcoCode"": ""9100DRNGTOS"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/dur/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""DUR"", ""toilets:wheelchair"": ""no"", ""train"": ""yes"", ""wheelchair"": ""yes"", ""wikidata"": ""Q2654300"", ""wikipedia"": ""en:Durrington-on-Sea railway station""}"
EMS,Emsworth,50.85161431692,-0.9384296638,28409831,Govia Thameslink Railway (Southern),National Rail,Q1991227,en:Emsworth railway station,Southern Railway; Southern,"{""name"": ""Emsworth"", ""naptan:AtcoCode"": ""9100EMSWTH"", ""network"": ""National Rail"", ""network:website"": ""https://www.nationalrail.co.uk/stations/ems/"", ""network:wikidata"": ""Q26334"", ""operator"": ""Govia Thameslink Railway (Southern)"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref:crs"": ""EMS"", ""wikidata"": ""Q1991227"", ""wikipedia"": ""en:Emsworth railway station""}"
